year,province,product_groups,CPI
1996,Ontario,All-items,88.2
1997,Ontario,All-items,89.8
1998,Ontario,All-items,90.6
1999,Ontario,All-items,92.4
2000,Ontario,All-items,95.1
2001,Ontario,All-items,98.0
2002,Ontario,All-items,100.0
2003,Ontario,All-items,102.7
2004,Ontario,All-items,104.6
2005,Ontario,All-items,106.9
2006,Ontario,All-items,108.8
2007,Ontario,All-items,110.8
2008,Ontario,All-items,113.3
2009,Ontario,All-items,113.7
2010,Ontario,All-items,116.5
2011,Ontario,All-items,120.1
2012,Ontario,All-items,121.8
2013,Ontario,All-items,123.0
2014,Ontario,All-items,125.9
2015,Ontario,All-items,127.4
2016,Ontario,All-items,129.7
2017,Ontario,All-items,131.9
2018,Ontario,All-items,135.0
2019,Ontario,All-items,137.5
2020,Ontario,All-items,138.4
