index,year,province,product_groups,CPI
0,1996,Ontario,All-items,88.2
1,1997,Ontario,All-items,89.8
2,1998,Ontario,All-items,90.6
3,1999,Ontario,All-items,92.4
4,2000,Ontario,All-items,95.1
5,2001,Ontario,All-items,98
6,2002,Ontario,All-items,100
7,2003,Ontario,All-items,102.7
8,2004,Ontario,All-items,104.6
9,2005,Ontario,All-items,106.9
10,2006,Ontario,All-items,108.8
11,2007,Ontario,All-items,110.8
12,2008,Ontario,All-items,113.3
13,2009,Ontario,All-items,113.7
14,2010,Ontario,All-items,116.5
15,2011,Ontario,All-items,120.1
16,2012,Ontario,All-items,121.8
17,2013,Ontario,All-items,123
18,2014,Ontario,All-items,125.9
19,2015,Ontario,All-items,127.4
20,2016,Ontario,All-items,129.7
21,2017,Ontario,All-items,131.9
22,2018,Ontario,All-items,135
23,2019,Ontario,All-items,137.5
24,2020,Ontario,All-items,138.4
